ds,y,temp,daylight,holiday
2019-04-05,58.0,11.7,13.143611111111111,0
2019-04-06,48.0,11.1,13.205833333333333,0
2019-04-07,50.0,10.0,13.2675,0
2019-04-08,59.0,11.4,13.329444444444444,0
2019-04-09,70.0,10.1,13.390833333333333,0
2019-04-10,67.0,5.2,13.4525,0
2019-04-11,51.0,3.4,13.51361111111111,0
2019-04-12,66.0,2.0,13.574722222222222,0
2019-04-13,39.0,3.4,13.635833333333334,0
2019-04-14,51.0,3.2,13.696666666666667,0
2019-04-15,69.0,7.6,13.757222222222222,0
2019-04-16,76.0,7.9,13.8175,0
2019-04-17,60.0,9.1,13.8775,0
2019-04-18,100.0,11.6,13.9375,1
2019-04-19,73.0,13.4,13.997222222222222,1
2019-04-20,86.0,14.1,14.056666666666667,0
2019-04-21,69.0,13.6,14.115833333333333,0
2019-04-22,59.0,12.0,14.174722222222222,0
2019-04-23,89.0,11.4,14.233333333333333,0
2019-04-24,63.0,14.6,14.291666666666666,0
2019-04-25,92.0,17.4,14.349444444444444,0
2019-04-26,107.0,16.6,14.407222222222222,0
2019-04-27,41.0,9.6,14.464444444444444,0
2019-04-28,33.0,8.4,14.52138888888889,0
2019-04-29,90.0,7.4,14.577777777777778,0
2019-04-30,72.0,10.2,14.633888888888889,0
2019-05-01,49.0,10.2,14.689722222222223,0
2019-05-02,70.0,12.9,14.745,0
2019-05-03,53.0,7.9,14.799722222222222,0
2019-05-04,57.0,5.3,14.854166666666666,0
2019-05-05,27.0,4.6,14.907777777777778,0
2019-05-06,51.0,5.3,14.96111111111111,0
2019-05-07,67.0,6.1,15.01388888888889,0
2019-05-08,43.0,11.1,15.065833333333334,0
2019-05-09,88.0,12.6,15.1175,0
2019-05-10,77.0,9.3,15.168333333333333,0
2019-05-11,77.0,10.8,15.21861111111111,0
2019-05-12,43.0,8.8,15.268333333333333,0
2019-05-13,64.0,9.2,15.317222222222222,0
2019-05-14,51.0,6.6,15.365277777777777,0
2019-05-15,72.0,5.2,15.4125,0
2019-05-16,57.0,6.9,15.459166666666667,0
2019-05-17,72.0,10.8,15.505,0
